bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
756,Black Vienna,1987,Board,Gilbert Obermair,,Franckh,3,6,,,,,10,,,,,,,,,,,,,,,,,,,,,31,,,
,Basil - der große Mausdetektiv,1987,Board,,,Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,
,UBI,1987,Board,,,YENO,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,
,Skip-Bo,1986,Board,,,Amigo,2,6,,,,,8,,,,,,,,,,,,,,,,,,,,,35,,,
,Magellan,1987,Board,Michel Fallon,,Flying Turtle Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,
,Generalowsky,1988,Board,Alex Randolph,,International Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,
,Captain Cook,1987,Board,Gerhard Kodys,,Piatnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,
,Digit,1987,Board,Gerhard Kodys,,Piatnik,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,44,,,
,Sabotage,1987,Board,,,Spear,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,46,,,
,Laß mein Känguruh in Ruh,1987,Board,Hajo Bücken,,Vogel Verlag,,,,,,,5,,,,,,,,,,,,,,,,,,,,,47,,,
,Froschkönig,1987,Board,Dirk Hanneforth,,Vogel Verlag,2,,,,,,5,,,,,,,,,,,,,,,,,,,,,48,,,
,Froschkonzert,1987,Board,Johann Rüttinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,
,Ranina,1987,Board,Reinhold Wittig,,Franckh,2,4,,,,,4,,,,,,,,,,,,,,,,,,,,,51,,,
,Fischerspiel,1987,Board,Richard Ulrich,,Herder Verlag,2,6,,,,,5,,,,,,,,,,,,,,,,,,,,,52,,,
,Freche Mäuse,1987,Board,Johann Rüttinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,
,Alle meine Entchen,1987,Board,Johann Rüttinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,
,Nimmersatt,1987,Board,Manfred Ludwig,,Ravensburger,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,56,,,
,Schnappfisch,,Board,,,Schmidt,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,57,,,
,Hühnerschmaus,,Board,Walter Wolf Windisch,,ASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,
,Eine wird gewinnen,2004,Board,Friedemann Friese,,taz Bremen,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,
,"Fuzzi, Heinz und Schlendrian fahren mit der Bimmelbahn",1983,Board,Manfred Ludwig,,Spear,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,60,,,
,Wir fahren mit der Bimmelbahn,1982,Board,Manfred Ludwig,,Spear,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,61,,,
,Häschen in der Grube,,Board,Manfred Ludwig,,Parker Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,
,Mah Jongg,,Board,,,,4,4,,,,,12,,,,,,,,,,,,,,,,,,,,,65,,,
171,Schach,1475,Board,,,,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,66,,,
,Dame,1000,Board,,,Philos GmbH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,
,Mühle,,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,
,Monopoly,1935,Board,Charles B. Darrow,,Parker Brothers,2,4,,,,,10,,,,,,,,,,,,,,,,,,,,,69,,,
,I Ching,1987,Board,Jürgen Hagedorn,,Hexagames / TST-Enterprises,1,5,,,,,10,,,,,,,,,,,,,,,,,,,,,71,,,
,Fang den Hut,1927,Board,C.A.N. Neves,,Ravensburger,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,
,Hotel-König,1982,Board,Sid Sackson,,Schmidt,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,74,,,
5,Acquire,1968,Board,Sid Sackson,,Schmidt,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,75,,,
931,Corner,1980,Board,Sid Sackson,,Ravensburger,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,
41,Can't Stop,1980,Board,Sid Sackson,,Parker Brothers,2,4,,,,,10,,,,,,,,,,,,,,,,,,,,,78,,,
,Blockade,1979,Board,Sid Sackson,,Bütehorn,1,4,,,,,10,,,,,,,,,,,,,,,,,,,,,79,,,
5776,Bierbörse,1979,Board,Sid Sackson,,Parker Brothers,2,6,,,,,8,,,,,,,,,,,,,,,,,,,,,80,,,
287,Bazaar,1967,Board,Sid Sackson,,Schmidt,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,81,,,
,Focus,1980,Board,Sid Sackson,,Parker Brothers,2,4,,,,,12,,,,,,,,,,,,,,,,,,,,,82,,,
,High Spirits with Calvin and the Colonel,1962,Board,Sid Sackson,,MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,
,Sleuth,1967,Board,Sid Sackson,,3M,3,7,,,,,12,,,,,,,,,,,,,,,,,,,,,84,,,
,Venture,1968,Board,Sid Sackson,,3M,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,
,Monad,1970,Board,Sid Sackson,,3M,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,
,Das MAD Spiel,1982,Board,,,Parker Brothers,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,87,,,
,Sequenz,1981,Board,Roland Siegers,,Bütehorn,2,2,,,,,12,,,,,,,,,,,,,,,,,,,,,88,,,
,Sagaland,1982,Board,"Alex Randolph,Michael Matschoss",,Ravensburger,2,6,,,,,8,,,,,,,,,,,,,,,,,,,,,89,,,
,Mr. Moneymaker,1981,Board,Philip H. O'Neill,,Spear,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,90,,,
,Ra,1981,Board,Marco Donadoni,,International Team,2,2,,,,,12,,,,,,,,,,,,,,,,,,,,,91,,,
,Ploy,1982,Board,Frank Thibault,,Schmidt,2,4,,,,,12,,,,,,,,,,,,,,,,,,,,,93,,,
,Feudal,1967,Board,Fred Buetschler,,3M,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,94,,,
,Feudal,1979,Board,Fred Buetschler,,Schmidt,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,95,,,
1076,Captain Future,1980,Board,Wolfgang Kramer,,ASS,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,96,,,
,Sympathie,1981,Board,K. Ludescher,,Ravensburger,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,
,Vulkanausbruch,1981,Board,,,Arxon,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,
,Horror Castle,1981,Board,,,Piatnik,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,
,Biene Maja,,Board,Waldemar Bonsel,,Hausser,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
,Rad-Fahrspiel,1979,Board,Julius Beck,,Ravensburger,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,
,Wildwest,,Board,Julius Kochers,,Ravensburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,
,Go,,Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,
,Twixt,1979,Board,Alex Randolph,,Schmidt,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,104,,,
,Hase und Igel,1978,Board,David Parlett,,Ravensburger,2,6,,,,,8,,,,,,,,,,,,,,,,,,,,,105,,,
,Die guten und die bösen Geister,1992,Board,Alex Randolph,,noris,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,106,,,
,Abenteuerinsel,1982,Board,Dirk Hanneforth,,Herder Verlag,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,107,,,
,Schnipseljagd,1982,Board,Heinz Wittenberg,,Spear,2,4,,,,,7,,,,,,,,,,,,,,,,,,,,,108,,,
,Medici,1982,Board,Marco Donadoni,,International Team,4,6,,,,,12,,,,,,,,,,,,,,,,,,,,,109,,,
,Focus,1963,Board,Sid Sackson,,3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,
,Economy-Entscheidung-Erfolg,1982,Board,Kurt Feyerabend,,Piatnik,2,4,,,,,12,,,,,,,,,,,,,,,,,,,,,111,,,
,Epaminondas,1979,Board,Robert Abbott,,Bütehorn,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,112,,,
539,Dampfross,1983,Board,"David Watts,Gwynn Watts",,Schmidt,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,113,,,
,Quibbix,1980,Board,Gilbert Obermair,,Intelli Vertriebsgesellschaft,1,6,,,,,8,,,,,,,,,,,,,,,,,,,,,114,,,
,Blockade,1979,Board,Philip Slater,,Arxon,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,116,,,
,Fantom,1982,Board,,,Ravensburger,1,4,,,,,10,,,,,,,,,,,,,,,,,,,,,117,,,
,Galaxis,1980,Board,David Wells,,Ravensburger,1,2,,,,,10,,,,,,,,,,,,,,,,,,,,,118,,,
,Schwimmende Inseln,1982,Board,Martin Kastenholz,,Avantgarde,2,4,,,,,12,,,,,,,,,,,,,,,,,,,,,119,,,
,Wirtschaftswunder,1982,Board,Sid Sackson,,Schmidt,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,120,,,
,Niki Lauda's Formel 1,1980,Board,Wolfgang Kramer,,ASS,2,6,,,,,8,,,,,,,,,,,,,,,,,,,,,121,,,
,Atlantis,1982,Board,,,MB,1,4,,,,,10,,,,,,,,,,,,,,,,,,,,,122,,,
,Malefiz,1960,Board,Werner Schöppner,,Ravensburger,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,123,,,
,Fahrrad-Tour kreuz und quer,1982,Board,Wolfgang Kramer,,Ravensburger,2,6,,,,,6,,,,,,,,,,,,,,,,,,,,,126,,,
,Die letzten beißen die Hunde,1982,Board,,,Spear,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,127,,,
,Zirkusspiel,1981,Board,Helge Andersen,"Elfriede Binder,Eberhard Binder",Herder Verlag,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,128,,,
,Laska,1973,Board,Emanuel Lasker,,F.X. Schmid,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,129,,,
,Perlenpyramide,,Board,Peter Pallat,,Edition Perlhuhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,
,Wabanti,1974,Board,Reinhold Wittig,,Edition Perlhuhn,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,135,,,
,Circulus,1976,Board,Reinhold Wittig,,Edition Perlhuhn,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,
,Hakahana,1976,Board,Reinhold Wittig,,Edition Perlhuhn,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,
,Hexenskat,1976,Board,Reinhold Wittig,,Edition Perlhuhn,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,
,Gerädert,1981,Board,"Reinhold Wittig,Hubertus Porada",,Edition Perlhuhn,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,
,Schnelle Schnecke,1976,Board,Reinhold Wittig,,Edition Perlhuhn,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,
,Walzermühle,,Board,Jochen Baurmeister,,Edition Perlhuhn,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,
,Transfer,1978,Board,Dietmar Hartmann,,Edition Perlhuhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,
,Wunderwatschler,1982,Board,Dirk Hanneforth,,Edition Perlhuhn,2,5,,,,,8,,,,,,,,,,,,,,,,,,,,,143,,,
,No-Spiel,,Board,Dirk Hanneforth,,Heidmük,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,
2229,Das Spiel,1980,Board,Reinhold Wittig,,Edition Perlhuhn,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,
,Ombagi,1981,Board,Reinhold Wittig,,Edition Perlhuhn,2,3,,,,,10,,,,,,,,,,,,,,,,,,,,,146,,,
1077,Baubylon,1981,Board,Reinhold Wittig,,Edition Perlhuhn,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,147,,,
,Dschungo,1982,Board,Reinhold Wittig,,ASS,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,148,,,
,Kensington,1979,Board,"Peter Forbes,Brian Taylor",,Arxon,2,6,,,,,6,,,,,,,,,,,,,,,,,,,,,149,,,
,Worldcup,1982,Board,Henri Sala,,Jumbo,2,4,,,,,9,,,,,,,,,,,,,,,,,,,,,150,,,
,Heiße Dollars,1982,Board,,,Parker Brothers,4,4,,,,,10,,,,,,,,,,,,,,,,,,,,,151,,,
,Millionenspiel,1982,Board,Rüdiger Koltze,,Ravensburger,3,5,,,,,10,,,,,,,,,,,,,,,,,,,,,152,,,
,Sprichwörterlotto,1883,Board,,,Ravensburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,
,Europa Lotto,1883,Board,,,Ravensburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,
,Long Short,1982,Board,L. Hensley,,Hexagames / TST-Enterprises,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,155,,,
,Cluedo,1982,Board,Anthony Pratt,,Parker Brothers,3,6,,,,,10,,,,,,,,,,,,,,,,,,,,,156,,,
,Kugel-Kipp,1982,Board,Dieter Drkosch,,KD-Spiele,2,2,,,,,6,,,,,,,,,,,,,,,,,,,,,157,,,
,Zoll,1982,Board,,,MB,4,6,,,,,7,,,,,,,,,,,,,,,,,,,,,158,,,
,Alapo,1982,Board,Johannes Tranelis,,Edition Perlhuhn,2,2,,,,,12,,,,,,,,,,,,,,,,,,,,,159,,,
,Kreuzschlacht,1982,Board,Armand Jumot,,BCF International B.V.,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,160,,,
,VIP Game,1983,Board,Istvàn v. Csonth,,noris,4,6,,,,,8,,,,,,,,,,,,,,,,,,,,,161,,,
,Risiko,1975,Board,Albert Lamorisse,,Parker Brothers,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,162,,,
,Magic 7,1983,Board,Alex Randolph,,Arxon,1,2,,,,,10,,,,,,,,,,,,,,,,,,,,,163,,,
,Stoppt den Ede!,1983,Board,Michael Kindred,,ASS,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,164,,,
,Kuli,1983,Board,,,MB,2,4,,,,,7,,,,,,,,,,,,,,,,,,,,,165,,,
,Transfer,1983,Board,Hila Moscovich,,Ravensburger,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,166,,,
,Leg das Rohr,1983,Board,,,Parker Brothers,2,5,,,,,8,,,,,,,,,,,,,,,,,,,,,167,,,
,Pac-Man,1982,Board,,,MB,2,4,,,,,7,,,,,,,,,,,,,,,,,,,,,168,,,
,Scotland Yard,1983,Board,"Werner Schlegel,Dorothy Garrels,Fritz Ifland,Manfred Burggraf,Werner Scheerer,Wolf Hoermann",,Ravensburger,3,6,,,,,10,,,,,,,,,,,,,,,,,,,,,169,,,
,Ali Babas Beute,1983,Board,Heinz Wittenberg,,Spear,2,6,,,,,6,,,,,,,,,,,,,,,,,,,,,170,,,
,Heißer Sand,1983,Board,,,ASS,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,171,,,
,Dallas,1983,Board,Lorimare Production,,Schmidt,2,7,,,,,12,,,,,,,,,,,,,,,,,,,,,172,,,
,Play West,1983,Board,Reinhold Wittig,,Edition Perlhuhn,3,6,,,,,8,,,,,,,,,,,,,,,,,,,,,173,,,
,The Landlords Game,1903,Board,Elizabeth J. Magie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,
1190,Continuo,1983,Board,Maureen Hiron,,Fidelity Electronics,1,5,,,,,6,,,,,,,,,,,,,,,,,,,,,175,,,
,Dodge City,1983,Board,Bernd Brunnhofer,,Hans im Glück,2,5,,,,,10,,,,,,,,,,,,,,,,,,,,,176,,,
,Playboss,1977,Board,Harald Riehle,,Ravensburger,3,9,,,,,12,,,,,,,,,,,,,,,,,,,,,177,,,
4586,Bärenspiel,1983,Board,Hajo Bücken,,Herder Verlag,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,178,,,
13236,Der schwarze Prinz,1983,Board,Johann Rüttinger,,noris,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,179,,,
,Marco Polo,1983,Board,Tom Kremer,,Schmidt,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,180,,,
,Giganten,1983,Board,Herbert Pinthus,,Carlit,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,181,,,
,Akropolis,1981,Board,,,Buchholz,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,
1931,Anti-Monopoly,1984,Board,Ralph Anspach,,ASS,2,6,,,,,10,,,,,,,,,,,,,,,,,,,,,183,,,
,Metropolis,1984,Board,Sid Sackson,,Ravensburger,2,5,,,,,16,,,,,,,,,,,,,,,,,,,,,184,,,
,Cats,1984,Board,,,Schmidt,2,4,,,,,10,,,,,,,,,,,,,,,,,,,,,185,,,
6773,Affenfelsenspiel,1984,Board,Reinhold Wittig,,Edition Perlhuhn,2,5,,,,,7,,,,,,,,,,,,,,,,,,,,,186,,,
,Rodeo,1984,Board,Ellen Klemm,,Hexagames / TST-Enterprises,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,187,,,
3015,Claim,1984,Board,Alex Randolph,,Jumbo,2,4,,,,,9,,,,,,,,,,,,,,,,,,,,,188,,,
1226,Babuschka,1982,Board,Alan M. Newman,,Ravensburger,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,189,,,
,Ökolopoly,1984,Board,Frederic Vester,,Ravensburger,1,6,,,,,14,,,,,,,,,,,,,,,,,,,,,190,,,
,Öl für uns alle,1976,Board,Tord Hasselquist,,Ravensburger,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,191,,,
,Top Star,1984,Board,,,Spear,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,192,,,
,Inka,1984,Board,Johann Rüttinger,,noris,2,2,,,,,12,,,,,,,,,,,,,,,,,,,,,193,,,
,Cathedral,1984,Board,Robert Peter Moore,,IQ Products,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,194,,,
906,Abilene,1983,Board,Roland Siegers alias Roy Winner,,Hexagames / TST-Enterprises,3,3,,,,,7,,,,,,,,,,,,,,,,,,,,,195,,,
,Mandala,1984,Board,,,Fututre Games Ltd.,1,4,,,,,7,,,,,,,,,,,,,,,,,,,,,196,,,
,Trivial Pursuit,1984,Board,"Scott Abbott,Chris Haney",,Parker Brothers,2,36,,,,,14,,,,,,,,,,,,,,,,,,,,,197,,,
,Scrabble,1949,Board,Alfred Mosher Butts,,Brunot&Butts,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,
,Stratego,1959,Board,,,Jumbo,2,2,,,,,9,,,,,,,,,,,,,,,,,,,,,199,,,
,Poke,1946,Board,Sid Sackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,
,Slam,,Board,Sid Sackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,
,Triad,,Board,Sid Sackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,
,Spiel des Lebens,1980,Board,,,MB,2,8,,,,,8,,,,,,,,,,,,,,,,,,,,,204,,,
,Tiere im Wald,1984,Board,Andreas Trieb,,Hans im Glück,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,205,,,
,Heimlich & Co.,1984,Board,Wolfgang Kramer,Matthias Wittig,Edition Perlhuhn,3,7,,,,,8,,,,,,,,,,,,,,,,,,,,,206,,,
,Dr. Futsch,1984,Board,Alex Randolph,,ASS,2,6,,,,,8,,,,,,,,,,,,,,,,,,,,,207,,,
,Palaver,1984,Board,Hajo Bücken,,Arbeitsstelle für neues Spielen,3,6,,,,,8,,,,,,,,,,,,,,,,,,,,,208,,,
,Kippling,1983,Board,Frank Thibault,,Ravensburger,2,4,,,,,8,,,,,,,,,,,,,,,,,,,,,209,,,
,Scorpion,1984,Board,Tom Kremer,,Spear,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,210,,,
,Sherlock Holmes Criminal-Cabinet,1984,Board,Anthony Uruburu,,Franckh,1,6,,,,,12,,,,,,,,,,,,,,,,,,,,,211,,,
11406,Auf Teufel komm raus,1983,Board,Reinhold Wittig,,Edition Perlhuhn,3,12,,,,,6,,,,,,,,,,,,,,,,,,,,,212,,,
,Consulting Detective,1981,Board,,,Sleuth Publications,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,214,,,
,Vokabo,,Board,Johann Rüttinger,,noris,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,
,Dallas,1981,Board,Johann Rüttinger,,noris,2,4,,,,,10,,,,,,,,,,,,,,,,,,,,,218,,,
,Casino Las Vegas,,Board,Johann Rüttinger,,noris,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,
,Heinz Sielmanns Expedition in Tierreich,,Board,Johann Rüttinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,,,
,Reversi,1974,Board,Lewis Waterman,,Ravensburger,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,
,Libero,1984,Board,Alfred Schnitger,,AS-decor Schnitger GmbH,2,2,,,,,12,,,,,,,,,,,,,,,,,,,,,224,,,
,Gran,1985,Board,"Kurt Feyerabend,Tom Ring",,Ravensburger,3,6,,,,,12,,,,,,,,,,,,,,,,,,,,,225,,,
,Mister Zero,1984,Board,"Rudolf Schweikert,Wilfried Bauer",,dacapo Spiele,2,4,,,,,10,,,,,,,,,,,,,,,,,,,,,226,,,
,Business,1984,Board,,,Schmidt,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,227,,,
,Conquest für 4,1984,Board,Donald Benge,,Hexagames / TST-Enterprises,4,4,,,,,12,,,,,,,,,,,,,,,,,,,,,228,,,
5049,Body Boggle,1985,Board,,,Parker Brothers,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,229,,,
2116,Cartino,1974,Board,D.F. Oudolf,,Ravensburger,2,4,,,,,10,,,,,,,,,,,,,,,,,,,,,230,,,
10005,Colomino,1973,Board,Max J. Kobbert,,Ravensburger,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,
1000,Corona,1974,Board,Alex Randolph,,Ravensburger,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,232,,,
2947,Das Börsenspiel,1972,Board,"F. Murray,S. Spencer",,Ravensburger,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,
,Forma,1973,Board,H.J. Geesink,,Ravensburger,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,
,Jockey,1973,Board,S. Spencer,,Ravensburger,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,235,,,
,Lingua,1972,Board,S. Braude,,Ravensburger,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,
,Olympia,1972,Board,Erwin Glonegger,,Ravensburger,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,
,Quaro,1974,Board,"L.W. Bones,Alex Randolph",,Ravensburger,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,
,Schöne alte Spiele,1974,Board,Erwin Glonegger,,Ravensburger,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,
,Tantalus,1975,Board,W. Barrington-Pink,,Ravensburger,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,
,TricTrac/Surakarta,1972,Board,Erwin Glonegger,,Ravensburger,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,
,Viaduct,1975,Board,K. Kasch,,Ravensburger,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,
,Quick 7,1985,Board,,,Parker Brothers,3,7,,,,,8,,,,,,,,,,,,,,,,,,,,,243,,,
,Pin,1985,Board,Dieter Drkosch,,K.D.Ingenieurtechnik,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,244,,,
,Hut ab!,1985,Board,,,MB,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,245,,,
,Super3,1978,Board,Alan M. Newman,,MB,2,2,,,,,7,,,,,,,,,,,,,,,,,,,,,246,,,
