bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,A Game of Thrones (card game),,,"Eric M. Lang,Christian T. Petersen,Christian T. Petersen (Spieleautor)",,Fantasy Flight Games,,,,,,,,,,,,,,,,,,,,,,,,,,,A_Game_of_Thrones_(card_game),,,Q1129250,A_Game_of_Thrones_(card_game)
,A Game of Thrones (role-playing game),2005,,Jesse Scoble,,Guardians of Order,,,,,,,,,,,,,,,,,,,,,,,,,,,A_Game_of_Thrones_(role-playing_game),,,Q677281,A_Game_of_Thrones_(role-playing_game)
,A House Divided (board game),,,Frank Chadwick,,"Game Designers Workshop,Mayfair Games",,,,,,,,,,,,,,,,,,,,,,,,,,,A_House_Divided_(board_game),,,Q3602522,A_House_Divided_(board_game)
,A World of Darkness,,,"Andrew Greenberg,Graeme Davis (game designer),Lee Gold,Robert Hatch,غرايم ديفيس,لي غولد",,"White Wolf Publishing,White Wolf, Inc,White Wolf,화이트 울프 퍼블리싱",,,,,,,,,,,,,,,,,,,,,,,,,,,A_World_of_Darkness,,,Q107283724,A_World_of_Darkness
,Abalone (board game),,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Abalone_(board_game),,,Q17247,Abalone_(board_game)
,Aberrant,1999,,"Robert Hatch (game designer),Mike Tinney,Ken Cliffe,Stephan Wieck",,"Onyx Path Publishing,White Wolf, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,Aberrant,,,Q1173528,Aberrant
,About Time (board game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,About_Time_(board_game),,,Q4668588,About_Time_(board_game)
,Abstract strategy game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abstract_strategy_game,,,Q573573,Abstract_strategy_game
,Accasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accasta,,,Q4672257,Accasta
,Accordion (solitaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accordion_(solitaire),,,,Accordion_(solitaire)
,Ace of hearts (card),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ace_of_hearts_(card),,,,Ace_of_hearts_(card)
,Aces & Eights: Shattered Frontier,2007,,"Dave Kenzer,Jolly R. Blackburn",,Kenzer & Company,,,,,,,,,,,,,,,,,,,,,,,,,,,Aces_&_Eights:_Shattered_Frontier,,,Q4673214,Aces_&_Eights:_Shattered_Frontier
,Aces Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aces_Up,,,Q2816947,Aces_Up
,Acey Deucey (card game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acey_Deucey_(card_game),,,Q4673328,Acey_Deucey_(card_game)
28931,Achi (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achi_(game),,,Q4673651,Achi_(game)
,Achtung Spitfire!,,,Charles Moylan,,"Avalon Hill,アバロンヒル",,,,,,,,,,,,,,,,,,,,,,,,,,,Achtung_Spitfire!,,,Q4673939,Achtung_Spitfire!
,Acquire,,,"Sid Sackson,シド・サクソン",,"Hasbro,هاسبرو,해즈브로,ハズブロ,孩之寶",2,,,,,,,,,,,,,,,,,,,,,,,,,,Acquire,,,Q342547,Acquire
12646,Acronymble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acronymble,,,Q4676379,Acronymble
,Acrophobia (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acrophobia_(game),,,Q4676391,Acrophobia_(game)
,Across Suez,,,,,Simulations Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,Across_Suez,,,Q4676463,Across_Suez
,Action Aboard: Adventures on the King Richard,1981,,Bill Paley,,"FASA,FASA Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,,Action_Aboard:_Adventures_on_the_King_Richard,,,Q55603166,Action_Aboard:_Adventures_on_the_King_Richard
,Active Exploits,2002,,,,Precis Intermedia Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,Active_Exploits,,,Q4677504,Active_Exploits
,Ad Astra (play-by-mail game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ad_Astra_(play-by-mail_game),,,Q65066533,Ad_Astra_(play-by-mail_game)
,Adrenalyn XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adrenalyn_XL,,,Q4684734,Adrenalyn_XL
29341,Adugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adugo,,,Q4685865,Adugo
,Advance to Boardwalk,,,,,"Parker Brothers,Parker (éditeur),파커 브라더스,パーカー・ブラザーズ",,,,,,,,,,,,,,,,,,,,,,,,,,,Advance_to_Boardwalk,,,Q4686107,Advance_to_Boardwalk
,Advanced Civilization,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Civilization,,,Q4686147,Advanced_Civilization
,Advanced Fighting Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Fighting_Fantasy,,,Q17101085,Advanced_Fighting_Fantasy
,Advanced HeroQuest,,,,,"Games Workshop,게임 워크숍,ゲームズワークショップ",1,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_HeroQuest,,,Q3605863,Advanced_HeroQuest
15126,Advanced Squad Leader,1985,,"Don Greenwood (game designer),Don Greenwood",,"Avalon Hill,Multi-Man Publishing,アバロンヒル,マルチマン・パブリッシング",2,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Squad_Leader,,,Q379731,Advanced_Squad_Leader
,Advanced Third Reich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced_Third_Reich,,,Q4686314,Advanced_Third_Reich
,Adventure!,2001,,"Robert Hatch (game designer),Ken Cliffe",,"White Wolf, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure!,,,Q2825388,Adventure!
,"Adventure Class Ships, Vol. I",1981,,Jordan Weisman,,"FASA,FASA Corporation",,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure_Class_Ships,_Vol._I",,,Q55603262,"Adventure_Class_Ships,_Vol._I"
,Adventure Fold-Up Figures,,,,,TSR (company),,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure_Fold-Up_Figures,,,Q24207056,Adventure_Fold-Up_Figures
,Adventure board game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure_board_game,,,Q4686556,Adventure_board_game
,Adventurer (board game),1980,,,,Yaquinto Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventurer_(board_game),,,Q55603261,Adventurer_(board_game)
,Adventurer Kings,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,Adventurer_Kings,,,Q111942415,Adventurer_Kings
,Adventurers' Guild Bounty Hunters' Handbook,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventurers'_Guild_Bounty_Hunters'_Handbook,,,Q96371498,Adventurers'_Guild_Bounty_Hunters'_Handbook
,Adventurers of the North - Kalevala Heroes,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventurers_of_the_North_-_Kalevala_Heroes,,,Q6460537,Adventurers_of_the_North_-_Kalevala_Heroes
,Adventures in Fantasy,,,"Dave Arneson,Richard Snider,デイヴ・アーネソン,Дейв Арнесон",,Adventure Games,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventures_in_Fantasy,,,Q25216348,Adventures_in_Fantasy
,Adventures in Middle-earth,2016,,Dominic McDowall-Thomas,,Cubicle 7,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventures_in_Middle-earth,,,Q39057114,Adventures_in_Middle-earth
,AeroTech,1986,,"L. Ross Babcock III,Jordan Weisman",,"FASA,Fantasy Productions,Catalyst Game Labs,FASA Corporation",2,,,,,,,,,,,,,,,,,,,,,,,,,,AeroTech,,,Q4688103,AeroTech
,Aerobiz,,,,,"Koei,كوي تيكمو,كويي,Koei Tecmo,KOEI,Koei Tecmo Holdings,コーエーテクモホールディングス,코에이,코에이 테크모,コーエー,Koei (företag),光荣特库摩,光荣 (企业)",,,,,,,,,,,,,,,,,,,,,,,,,,,Aerobiz,,,Q2526874,Aerobiz
,Aerobiz Supersonic,,,,,"Koei,كوي تيكمو,كويي,Koei Tecmo,KOEI,Koei Tecmo Holdings,コーエーテクモホールディングス,코에이,코에이 테크모,コーエー,Koei (företag),光荣特库摩,光荣 (企业)",,,,,,,,,,,,,,,,,,,,,,,,,,,Aerobiz_Supersonic,,,Q609155,Aerobiz_Supersonic
,Aeronautica Imperialis,2007,,"Games Workshop,Forge World,게임 워크숍,ゲームズワークショップ",,"Games Workshop,게임 워크숍,ゲームズワークショップ",2,,,,,,,,,,,,,,,,,,,,,,,,,,Aeronautica_Imperialis,,,Q977927,Aeronautica_Imperialis
,Aeroplane chess,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroplane_chess,,,Q4688395,Aeroplane_chess
,Afrika Korps (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afrika_Korps_(game),,,Q4690114,Afrika_Korps_(game)
,Afrikan tähti,,,Kari Mannerla,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Afrikan_tähti,,,Q284357,Afrikan_tähti
,After Midnight (adventure),,,,,TSR (company),,,,,,,,,,,,,,,,,,,,,,,,,,,After_Midnight_(adventure),,,Q25214315,After_Midnight_(adventure)
,After the Bomb (game),1986,,Erick Wujcik,,"Palladium Books,باليديام بوكس",,,,,,,,,,,,,,,,,,,,,,,,,,,After_the_Bomb_(game),,,Q2826313,After_the_Bomb_(game)
,Afterlife (video game),,,"Michael Stemmle,Стеммль, Майкл,麥克·施特姆勒,Майкл Стеммле",,LucasArts,,,,,,,,,,,,,,,,,,,,,,,,,,,Afterlife_(video_game),,,Q389215,Afterlife_(video_game)
,Aftermath!,1981,,"Robert N. Charrette,Paul Hume (game designer)",,Fantasy Games Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,Aftermath!,,,Q727958,Aftermath!
,Age of Mythology: The Boardgame,2003,,,,"Eagle Games,이글 게임스",4,,,,,,,,,,,,,,,,,,,,,,,,,,Age_of_Mythology:_The_Boardgame,,,Q4691896,Age_of_Mythology:_The_Boardgame
8490,Age of Napoleon (board game),2003,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Age_of_Napoleon_(board_game),,,Q25183670,Age_of_Napoleon_(board_game)
,Age of Renaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Age_of_Renaissance,,,Q4691903,Age_of_Renaissance
,Age of Steam (game),2002,,"Martin Wallace (game designer),Martin Wallace",,,3,,,,,,13,,,,,,,,,,,,,,,,,,,,Age_of_Steam_(game),,,Q4691914,Age_of_Steam_(game)
,Aggravation (board game),,,,,"Parker Brothers,Parker (éditeur),파커 브라더스,パーカー・ブラザーズ",2,,,,,,,,,,,,,,,,,,,,,,,,,,Aggravation_(board_game),,,Q4692235,Aggravation_(board_game)
,Agnes (card game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agnes_(card_game),,,Q4692997,Agnes_(card_game)
,Agon (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agon_(game),,,Q4693335,Agon_(game)
,Agram (card game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agram_(card_game),,,Q4693730,Agram_(card_game)
,Agricola (board game),,,"Uwe Rosenberg,أوفي روزنبرغ,ウヴェ・ローゼンベルク,乌维·罗森伯格",,"Z-Man Games,Lookout Games,Mayfair Games",1,,,,,,12,,,,,,,,,,,,,,,,,,,,Agricola_(board_game),,,Q396644,Agricola_(board_game)
,Aikatsu!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aikatsu!,,,Q729857,Aikatsu!
,Air Assault on Crete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air_Assault_on_Crete,,,Q4697738,Air_Assault_on_Crete
,Air Baron,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,Air_Baron,,,Q4697754,Air_Baron
,Air Bucks,,,,,"Sierra Entertainment,سييرا إنترتينمنت,시에라 엔터테인먼트,シエラエンターテインメント,雪乐山",,,,,,,,,,,,,,,,,,,,,,,,,,,Air_Bucks,,,Q4697769,Air_Bucks
,Air Charter (game),,,,,Waddingtons,2,,,,,,,,,,,,,,,,,,,,,,,,,,Air_Charter_(game),,,Q4697793,Air_Charter_(game)
,Air hockey,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Air_hockey,,,Q165302,Air_hockey
,Air wargaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air_wargaming,,,Q4698396,Air_wargaming
,Airline Tycoon,,,Armin Gessert,,"Monte Cristo (company),Spellbound Entertainment,Infogrames,RuneSoft,مونتي كريستو,Monte Cristo,Monte Cristo (Unternehmen),Monte Cristo Multimedia,Monte Cristo (entreprise),Monte Cristo (azienda),Monte Cristo (bedrijf),Monte Cristo (przedsiębiorstwo),Монте-Кристо (Кордова),Monte Cristo (företag),基督山遊戲,Monte Cristo, Argentina,إسبلبوند إنترتنمنت",,,,,,,,,,,,,,,,,,,,,,,,,,,Airline_Tycoon,,,Q408798,Airline_Tycoon
,Airlines (video game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airlines_(video_game),,,Q4698794,Airlines_(video_game)
,Airport Tycoon,,,,,"Global Star Software,TalonSoft",,,,,,,,,,,,,,,,,,,,,,,,,,,Airport_Tycoon,,,Q842048,Airport_Tycoon
,Aksharit,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Aksharit,,,Q16824555,Aksharit
,Al-Qadim,1992,,"Jeff Grubb,جيف غراب,Грабб, Джефф",,"TSR, Inc.,Tactical Studies Rules,TSR (entreprise),TSR (ゲーム出版社),TSR (公司)",,,,,,,,,,,,,,,,,,,,,,,,,,,Al-Qadim,,,Q2829261,Al-Qadim
,Aladdin's Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aladdin's_Dragons,,,Q4705481,Aladdin's_Dragons
,Alamaze,1986,,,,Reality Simulations,15,,,,,,,,,,,,,,,,,,,,,,,,,,Alamaze,,,Q85740472,Alamaze
,Alara block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alara_block,,,Q22815103,Alara_block
,Alaska (solitaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska_(solitaire),,,,Alaska_(solitaire)
,Albur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albur,,,Q4712844,Albur
,Alea evangelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alea_evangelii,,,Q4714063,Alea_evangelii
,Alexander the Great (board game),1971,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander_the_Great_(board_game),,,Q4720514,Alexander_the_Great_(board_game)
,Alfapet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfapet,,,Q4721877,Alfapet
,Alfred Hitchcock Edition Clue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred_Hitchcock_Edition_Clue,,,Q4722864,Alfred_Hitchcock_Edition_Clue
,Algerian (solitaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algerian_(solitaire),,,,Algerian_(solitaire)
,Alhambra (board game),,,Dirk Henn,,"Queen Games,Überplay",2,,,,,,8,,,,,,,,,,,,,,,,,,,,Alhambra_(board_game),,,Q1934596,Alhambra_(board_game)
,Alhambra (solitaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alhambra_(solitaire),,,Q4724428,Alhambra_(solitaire)
,Alhambra (video game),,,,,"Vivendi Games,فيفندي غيمز,비방디 게임스,ヴィヴェンディ・ユニバーサルゲームズ,维旺迪游戏",,,,,,,,,,,,,,,,,,,,,,,,,,,Alhambra_(video_game),,,Q4724431,Alhambra_(video_game)
,Ali Guli Mane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ali_Guli_Mane,,,Q3611616,Ali_Guli_Mane
,Alias (board game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alias_(board_game),,,Q1897687,Alias_(board_game)
,Alien Armies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alien_Armies,,,Q4726404,Alien_Armies
,Alien Realms,,,"J. Andrew Keith,Timothy B. Brown,جي. أندرو كيث",,"Game Designers' Workshop,ゲームデザイナーズ・ワークショップ",,,,,,,,,,,,,,,,,,,,,,,,,,,Alien_Realms,,,Q104862961,Alien_Realms
,Aliens Adventure Game,1991,,,,Leading Edge Games,,,,,,,,,,,,,,,,,,,,,,,,,,,Aliens_Adventure_Game,,,Q2836856,Aliens_Adventure_Game
,Aliens Predator Customizable Card Game,,,,,"Precedence Entertainment,HarperCollins,هاربر كولنز,하퍼콜린스,ハーパーコリンズ,Harper Collins,哈珀柯林斯",2,,,,,,,,,,,,,,,,,,,,,,,,,,Aliens_Predator_Customizable_Card_Game,,,Q74116401,Aliens_Predator_Customizable_Card_Game
,All Flesh Must Be Eaten,1999,,George Vasilakos,,"Eden Studios, Inc.,Eden Studios",,,,,,,,,,,,,,,,,,,,,,,,,,,All_Flesh_Must_Be_Eaten,,,Q2623352,All_Flesh_Must_Be_Eaten
,All Star Baseball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_Star_Baseball,,,Q4729664,All_Star_Baseball
,All Star Cheer Squad,,,,,"THQ,تي إتش كيو",,,,,,,,,,,,,,,,,,,,,,,,,,,All_Star_Cheer_Squad,,,Q3233998,All_Star_Cheer_Squad
,All Star Cheer Squad 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_Star_Cheer_Squad_2,,,Q4729665,All_Star_Cheer_Squad_2
,All This and World War II (adventure),,,,,TSR (company),,,,,,,,,,,,,,,,,,,,,,,,,,,All_This_and_World_War_II_(adventure),,,Q25214316,All_This_and_World_War_II_(adventure)
,All at Sea (ruleset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_at_Sea_(ruleset),,,Q4729932,All_at_Sea_(ruleset)
,All in a Row (Solitaire),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_in_a_Row_(Solitaire),,,,All_in_a_Row_(Solitaire)
,All the Worlds' Monsters,1977,,"Steve Perrin,ستيف بيرين (مصمم لعب تقمص أدوار),Перрин, Стивен",,"Chaosium,ケイオシアム,混沌元素",,,,,,,,,,,,,,,,,,,,,,,,,,,All_the_Worlds'_Monsters,,,Q48976682,All_the_Worlds'_Monsters
10893,Allegiance: War of Factions,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Allegiance:_War_of_Factions,,,Q4731366,Allegiance:_War_of_Factions
,Almost Chess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost_Chess,,,,Almost_Chess
,Alone Against the Dark,2017,,Matthew J. Costello,,"Chaosium,ケイオシアム,混沌元素",,,,,,,,,,,,,,,,,,,,,,,,,,,Alone_Against_the_Dark,,,Q65066491,Alone_Against_the_Dark
,Alone Against the Wendigo,,,,,"Chaosium,ケイオシアム,混沌元素",,,,,,,,,,,,,,,,,,,,,,,,,,,Alone_Against_the_Wendigo,,,Q104856157,Alone_Against_the_Wendigo
